description,name,operation,price,type
"Detalles de Casa en venta en Lomas de San Fermin zona 21 Guatemala   Casa enventa en residencial privado pocas casas, cerca de boulevard principal, congarita de seguridad, a pocos km de Calzada Atanasio Tzul   y Avenida Petápa zona 12.     Propiedadde:     6 mts defrente  17 mt2 defondo  Construcción100 m2  Propiedadconstruida desde 2003     la descripciónde la vivienda:     3habitaciones  3 baños  Habitacionde servicio  Lavandería  Estacionamientopara 3 vehículos  2 nivelesconstruidos  Patiotrasero   Cuota de mantenimiento Q390.00  (Agua, seguridad, extracción de basura y mantenimiento areas comunes).  Precio deventa más impuestos y gastos legales",Casa en venta en Lomas de San Fermin zona 21 Guatemala,Venta,"Q975,000",Casas
"Detalles de Oficina nueva en renta en zona 9 sector Montufar   Moderna oficina en renta en el centro de la zona 9, cercano a paradas de transmetro, bancos, restaurantes, comercio y centros de salud, entre otros. Cuenta con 2 accesos uno sobre la 12 calle y el otro sobre la 13 calle de zona 9, peatonal y vehicular con parqueo en sótano para visitas y condóminos, la oficina cuenta con 35mt2 con baño, cuenta con un parqueo. Oficina ideal para abogados, contadores, clínicas médicas, entre otros  El edificio cuenta con batería de baños en cada nivel, locales comerciales, elevadores, gradas desde el sótano. Valor de renta cuenta con mantenimiento más impuestos",Oficina nueva en renta en zona 9 sector Montufar,Renta,"Q6,000",Oficinas
"Detalles de Oficina nueva en renta en zona 9, cerca a la 7 Avenida   Moderna oficina en renta en el centro de la zona 9, cercano a paradas de transmetro, bancos, restaurantes, comercio y centros de salud, entre otros. Cuenta con 2 accesos uno sobre la 12 calle y el otro sobre la 13 calle de zona 9, peatonal y vehicular con parqueo en sótano para visitas y condóminos, la oficina cuenta con 35mt2 con baño, cuenta con un parqueo. Oficina ideal para abogados, contadores, clínicas médicas, entre otros  El edificio cuenta con batería de baños en cada nivel, locales comerciales, elevadores, gradas desde el sótano. Valor de renta cuenta con mantenimiento más impuestos","Oficina nueva en renta en zona 9, cerca a la 7 Avenida",Renta,"Q6,000",Oficinas
"Detalles de Oficina de 71 mts en alquiler en el centro de la zona 9   Modernas oficinas en renta en el centro de la zona 9, cercano a paradas de transmetro, bancos, restaurantes, comercio y centros de salud, entre otros. Cuenta con 2 accesos uno sobre la 12 calle y el otro sobre la 13 calle de zona 9, peatonal y vehicular con parqueo en sótano para visitas y condóminos, la oficina cuenta con 71.40mt2 con 2 baños, cuenta con dos parqueos. (SON 2 OFICINAS Y LAS CUALES SE PUEDEN RENTAR POR SEPARADO) Oficina ideal para abogados, contadores, clínicas médicas, entre otros  El edificio cuenta con batería de baños en cada nivel, locales comerciales, elevadores, gradas desde el sótano. Valor de renta cuenta con mantenimiento más impuestos",Oficina de 71 mts en alquiler en el centro de la zona 9,Renta,"Q12,000",Oficinas
"Detalles de Apartamento en renta en zona 14 sector la Villa     Apartamento en alquiler de 2 habitaciones en zona 14 Sector de la Villa cercano a colegios, universidades, centros comerciales, bancos del sistema y centros de negocios el apartamento cuenta con: - Cocina equipada - Sala - Comedor  - Bar - 2 habitaciones (principal con w/c y baño) - Baño de visitas - 2 parqueos La vista es muy linda ya que se encuentra en un sexto nivel y el apartamento es totalmente iluminado.  El proyecto cuenta con: Gimnasio Baby Gym Salón Social Salas Lounge  Área verde con juegos de niños Renta incluye mantenimiento,  El mantenimiento incluye: extracción de basura, agua, mantenimiento de áreas comunes, áreas verdes, gimnasio, salón social, elevadores y seguridad 24 horas.",Apartamento en renta en zona 14 sector la Villa  ,Renta,USD850,Apartamentos
"Detalles de Venta de terreno Residencial en El Tejar Chimaltenango   Terreno en venta totalmente plano a nivel de la calle, Ingreso calle deterracería. El acceso es por la calle que va al Caserío Santo Domingo ElRosario,  El Tejar Chimaltenango.  Son dos  lotes juntos  978 mts2  Acceso a iglesias y comercios locales a menos de un kilómetro.    Sin urbanización, sin banquetas ni bordillos en ambos lados de la calle.",Venta de terreno Residencial en El Tejar Chimaltenango,Venta,"Q195,000",Terrenos
"Detalles de Apartamento AMUEBLADO en la Zona 4 Edififio QUO   Rento Apartamento AMUEBLADO en la Zona 4 de Guatemala, cuenta con un área de 38 m2 de construcción + 12.5 m2 de un parqueo para vehículo + una habitación + baño completo + sala + comedor + cocina.  El edificio donde se encuentra cuenta con, área de comercio, gimnasio, restaurantes, tiendas de conveniencia, seguridad las 24 hrs. cercano a transporte públicos.  PRECIO SIN MUEBLES $700.00",Apartamento AMUEBLADO en la Zona 4 Edififio QUO,Renta,USD825,Apartamentos
"Detalles de RENTA o VENTA terreno sobre Calzada Roosevelt Guatemala   Terreno en Venta o Alquiler de 8,186 varas en renta Sobre Calzada Roosevelt, ideal para almacenaje, parqueo de camiones, gasolinera, bodega entre otros. Excelente ubicación por tener alto tránsito vehicular, con acceso directo la carretera que lleva a Sacatepéquez, A Mixco, a Ciudad Quetzal. Cuenta con vocación netamente comercial, totalmente plano  Cuenta con 90 metros de Frente por 70 metros de Fondo. haciendo un total de 5,700 es decir  8, 186 VRS2",RENTA o VENTA terreno sobre Calzada Roosevelt Guatemala,Venta y Renta,"USD10,232,500",Terrenos
"Detalles de CityMax renta de oficina en Plaza ubicada en zona 10   Oficina bien ubicada en zona 10 Ciudad Guatemala Excelente ubicación, accesos inmediatos a Centros comerciales como Oakland y Desing Center.  Excelentes medidas de Seguridad y amplio parqueo para visitas techado, planta de emergencia con escalera exterior de emergencia, seguridad 24 horas con CC. Ubicada en primer nivel  (planta baja) 66mts2, 2 tabicaciones, iluminación led,  1 baño, 3 parqueos   (1 privado y 2 en derecho) Incluye el mantenimiento. Más IVA",CityMax renta de oficina en Plaza ubicada en zona 10,Renta,USD650,Oficinas
"Detalles de Casa en venta con apartamentos en zona 1 de Mazatenango   Casa enventa distribuida en 3 niveles y un cuarto nivel de terraza.  En cadanivel cuenta con un apartamento de 104 MTRS2 cada uno. Haciendo un total de 312 MTRS2 de Construcción  Ubicado  en Mazatenango, Suchitepéquez, a 160 km de laCiudad de Guatemala, siendo uno de los más importantes centros urbanos dela  región.  Con excelentesaccesos a la ciudad, vías completamente asfaltadas.  Lapropiedad cuenta con 3 apartamentos.  Elapartamento del primer nivel cuenta con 2 habitaciones, sala – comedor, 2baños, cocina y 1 parqueo.  En el 2do y3er nivel los apartamentos son de 3 habitaciones cada uno, sala comedor,cocina, dos baños cada uno  Se ingresapor escales exteriores.  Hay unaterraza para tender en el 4to nivel.  Lapropiedad se encuentra en el centro de la Ciudad con una excelente ubicación,ideal para inversionistas.",Casa en venta con apartamentos en zona 1 de Mazatenango,Venta,"Q890,000",Casas
"Detalles de APARTAMENTO AMUEBLADO EN ATTICA ZONA 14   Apartamento amuebaldo en renta. zona 14 de Guatemala sin duda es una de las zonas más exclusivas de la ciudad y gracias a ello la construcción de edificios habitacionales a subido a otro nivel brindándole a los residentes un estilo de vida diferente. Es una área de gran plusvalía inmobiliaria con edificios modernos, elegantes y sofisticados para elevar el estilo de vida de las familias. El edificio cuenta con muchas amenidades y en los alrededores los centros comerciales de mayor prestigio, excelentes restaurantes, gimnasios cercanos. 2 habitaciones sala-comedor 2 baños 2 parqueos",APARTAMENTO AMUEBLADO EN ATTICA ZONA 14,Renta,"USD1,300",Apartamentos
"Detalles de VENDO Apartamento en Quetzaltenango Torre de los Altos   Apartamento en una de las zonas más exclusivas y rentables en Xela,  esta ubicado a solo minutos del mejor Centro Comercial, restaurantes, supermercado  y colegios. El apartamento cuenta con espacio para sala con hermosos acabados, comedor, tres habitaciones con bellas vistas, cocina equipada, cuenta con tecnología de iluminación LED,  dos parqueos.  Un lugar para vivir con tranquilidad, comodidad y en un ambiente vanguardista. Excelente precio y ubicación.",VENDO Apartamento en Quetzaltenango Torre de los Altos,Venta,"USD212,500",Apartamentos
"Detalles de Alquiler de local en edificio ubicado en La Villa z14   Excelente ubicación edificio mixto bien ubicado sobre la Villa zona 14 Bastante afluencia peatonal y tráfico. Este local esta en primer nivel de edificio comercial. Cuenta con 30mts2.  Seguridad 24 horas, parqueo de visitas,  Nivel 1 4 locales comerciales. Cuenta con terraza social Renta más IVA",Alquiler de local en edificio ubicado en La Villa z14,Renta,"Q3,600",Locales comerciales
"Detalles de VENTA PRECIOSO APARTAMENTO EN ZONA EXCLUSIVA EN XELA   hermoso Apartamento en una de las zonas más exclusivas y rentables en Xela,  esta ubicado a solo minutos del mejor Centro Comercial, restaurantes, supermercado  y colegios. El apartamento cuenta con dos habitaciones con hermosa vista, cocina, área de lavandería y bodega, cuenta con tecnología de iluminación LED,  dos parqueos. Un lugar exclusivo para vivir en un ambiente tranquilo, elegante y cómodo. Excelente precio y ubicación.",VENTA PRECIOSO APARTAMENTO EN ZONA EXCLUSIVA EN XELA,Venta,"USD212,500",Apartamentos
"Detalles de Local de 90 mt2 en alquiler en zona 9, cerca a 12 calle   Local disponible en zona 9, a una cuada de la Montufar, con salida a Bulevar liberación, cuenta con 90 mts2, ideal para comercio, cercano a zona comercial, con tráfico vehicular ubicado al pie de calle, parquero públicos a los alrededores. La renta más impuestos","Local de 90 mt2 en alquiler en zona 9, cerca a 12 calle",Renta,"USD1,000",Locales comerciales
